Drug,PMID,PubDate,Journal,Title,Source
SUNITINIB,42414807,,,A Review on Nanocarrier-Based Strategies for Sunitinib Delivery: Advances in Pharmacokinetic Enhancement and Targeted Theranostics.,PubMed
SUNITINIB,42392517,,,Injectable pH-responsive gelatin methacryloyl hydrogel for cuproptosis-synergized sunitinib therapy and immune reprogramming in clear cell renal cell carcinoma.,PubMed
SUNITINIB,42378551,,,Bayesian Methods for Subgroup Efficacy and Safety: Application to Japanese Patients in JAVELIN Renal 101.,PubMed
SUNITINIB,42373289,,,Bayesian Analysis to Refine East Asian Subgroup Estimates in the CLEAR Trial (Lenvatinib Plus Pembrolizumab vs. Sunitinib) for Advanced Renal Cell Carcinoma.,PubMed
SUNITINIB,42356515,,,Engineering Selenium-Chitosan Nanoparticles for Enhanced Hepatic Delivery of Sunitinib and Improved In Vitro Anticancer Activity in Hepatocellular Carcinoma Models.,PubMed
SUNITINIB,42355796,,,Review of Haematological Toxicities in Well-Differentiated Neuroendocrine Tumours: A Case Report and Comprehensive Review of the Literature.,PubMed
SUNITINIB,42286828,,,Apatinib combined with capecitabine plus temozolomide versus sunitinib in advanced gastroenteropancreatic neuroendocrine tumours: a propensity score-matched real-world study.,PubMed
SUNITINIB,42283932,,,Therapeutic Drug Monitoring and Model-Informed Precision Dosing of Oral TKIs and PARP Inhibitors: A Practical Framework for Clinical Implementation.,PubMed
SUNITINIB,42276388,,,Molecular mechanisms and therapeutic targets of traditional Chinese Medicine compounds in renal cell carcinoma: A comprehensive narrative review.,PubMed
SUNITINIB,42229285,,,Targeting mitochondrial metabolism in renal cell carcinoma with melatonin: Preclinical evidence and clinical perspectives.,PubMed
TAMOXIFEN,42564483,,,,PubMed
TAMOXIFEN,42544074,,,,PubMed
TAMOXIFEN,42510955,,,,PubMed
TAMOXIFEN,42490743,,,,PubMed
TAMOXIFEN,42473799,,,,PubMed
TAMOXIFEN,42467342,,,,PubMed
TAMOXIFEN,42405609,,,,PubMed
TAMOXIFEN,42389270,,,,PubMed
TAMOXIFEN,42386053,,,,PubMed
TAMOXIFEN,42385388,,,,PubMed
TOPOTECAN,42553724,2026,World J Pediatr Surg,Intra-arterial chemotherapy for retinoblastoma: a structured narrative review.,PubMed
TOPOTECAN,42497381,2026 Jul 24,J Clin Oncol,"Izalontamab Brengitecan (Iza-Bren), a First-in-Class EGFR-HER3 Bispecific Antibody-Drug Conjugate in Extensive-Stage Small Cell Lung Cancer: Results From a Phase Ib Study.",PubMed
TOPOTECAN,42480648,2026 Jul 21,Ophthalmol Retina,Transient Optical Coherence Tomography Changes after High-Dose Intravitreal Topotecan for retinoblastoma: case series.,PubMed
TOPOTECAN,42419577,2026 Jul 8,J Control Release,Oral delivery of topoisomerase I inhibitors: From biopharmaceutical barriers to clinical translation.,PubMed
TOPOTECAN,42328096,2026 Jul,Ophthalmol Sci,Topotecan Microneedle Scleral Patch: A Transscleral Drug Delivery Study for Retinoblastoma.,PubMed
TOPOTECAN,42326553,2026 Jun 17,J Vitreoretin Dis,High-Dose Intravitreal Topotecan Combined With Focal Consolidation Therapy for Recurrent Retinal Tumors in Retinoblastoma.,PubMed
TOPOTECAN,42263182,2026 Jul 1,J Pediatr Hematol Oncol,High-Dose Intravitreal Topotecan for Retinoblastoma With Subretinal Seeds: A Well-Tolerated and Efficacious Approach.,PubMed
TOPOTECAN,42202757,2026 Jul,Cytotherapy,Quadruple immunotherapy with allogeneic natural killer cell infusion for recurrent neuroblastoma.,PubMed
TOPOTECAN,42072718,2026 Apr 17,Biomolecules,Quercetin Enhances Topotecan Cytotoxicity in Retinoblastoma Cells Through ROS-Associated Stress and Apoptotic Signaling.,PubMed
TOPOTECAN,42028236,2026 Jan-Dec,Neurooncol Adv,Combination of metronomic oral pazopanib and topotecan for recurrent glioblastoma with and without previous bevacizumab: Results from a phase 2 clinical trial.,PubMed
TOPOTECAN,42160641,2026 Apr,,,PubMed
TOPOTECAN,41823156,2026 May,Pediatr Blood Cancer,Efficacy and Tolerability of Topotecan/Cyclophosphamide/Dinutuximab in Relapsed and Refractory High-Risk Neuroblastoma: A Multi-Institutional Retrospective Study.,PubMed
TOPOTECAN,41781859,2026 Mar 4,Mol Med,Topoisomerase inhibitors in cervical cancer: mechanistic insights and therapeutic strategies.,PubMed
TOPOTECAN,41766523,2026 Mar,Cancer Med,A Critical Analysis of the Impact of Etoposide as a Topoisomerase II Inhibitor in Cervical Cancer Treatment: A Review.,PubMed
TOPOTECAN,41725538,2026 Dec,Ann Med,Molecular targeted therapy in combination with chemotherapy for the treatment of platinum-resistant/refractory ovarian cancer (PROC): a systematic review and network meta-analysis.,PubMed
TRASTUZUMAB,42592971,,,,PubMed
TRASTUZUMAB,42592430,,,,PubMed
TRASTUZUMAB,42586176,,,,PubMed
TRASTUZUMAB,42582644,,,,PubMed
TRASTUZUMAB,42582070,,,,PubMed
TRASTUZUMAB,42582067,,,,PubMed
TRASTUZUMAB,42530873,,,,PubMed
TRASTUZUMAB,42529542,,,,PubMed
TRASTUZUMAB,42509656,,,,PubMed
TRASTUZUMAB,42501479,,,,PubMed
VENETOCLAX,42585304,2026 Aug 14,Sci Adv,RNA terminal uridylyl transferases are druggable vulnerabilities in AML but are dispensable for normal hematopoiesis.,PubMed
VENETOCLAX,42570165,2026 Aug 8,Clin Transl Oncol,Targeting protein-protein interactions in the BCL-2 family: opportunities for precision oncology.,PubMed
VENETOCLAX,42566728,2026 Aug 7,J Clin Oncol,Contemporary Management of Relapsed or Refractory Chronic Lymphocytic Leukemia.,PubMed
VENETOCLAX,42563153,2026 Aug 5,BMC Cancer,DECIDER-2: Prospective randomized multicenter phase III trial of decitabine and venetoclax administered in combination with all-trans retinoic acid or placebo in patients with acute myeloid leukemia who are ineligible for induction chemotherapy.,PubMed
VENETOCLAX,42561008,2026 Sep,Hematol Oncol,Defining a Therapeutic Window for Venetoclax in Post-Transplant Maintenance Therapy for High-Risk Acute Myeloid Leukemia and Myelodysplastic Syndromes.,PubMed
VENETOCLAX,42548096,2026 Aug 3,J Dermatol,Venetoclax-Induced Symmetrical Drug-Related Intertriginous and Flexural Exanthema (SDRIFE): Implications for Diagnosis and Treatment Continuation.,PubMed
VENETOCLAX,42535888,2026 Jul 31,Turk J Haematol,Antifungal Management in Patients with Hematologic Malignancies: From Primary Prophylaxis to Empirical and Diagnostic-Driven Treatment.,PubMed
VENETOCLAX,42534179,2026 Jun,Cureus,Gilteritinib-Associated Hypertriglyceridemia During Acute Myeloid Leukemia Triplet Therapy in a 52-Year-Old Man: A Case Report.,PubMed
VENETOCLAX,42532517,2026 Jul 30,Eur J Haematol,Dose-Adjusted Treatment With 7-Day Venetoclax Plus Azacitidine or Decitabine in Patients With Acute Myeloid Leukaemia.,PubMed
VENETOCLAX,42528004,2026 Jul 29,Pediatr Blood Cancer,Efficacy and Safety of Tyrosine Kinase Inhibitor Combined With Venetoclax-Based Regimen in Pediatric Patients With Chronic Myeloid Leukemia in the Blast Phase: A Single-Center Retrospective Study.,PubMed
VENETOCLAX,42523261,2026 Jul 13,bioRxiv,Specific F(1) ATP synthase inhibition delivers transient mitochondrial stress for selective targeting of acute myeloid leukemia.,PubMed
VENETOCLAX,42522802,2026 Jul 1,Asian Pac J Cancer Prev,Prognostic Implications and Therapeutic Landscape of IDH1-Mutated AML: An Updated Review of Evidence and Indian Perspective.,PubMed
VENETOCLAX,42520193,2026 Jul 28,Blood,OPTI-AML: Prospective Comparison of 28 vs.14 days of Venetoclax Induction with Azacitidine in Older Adults with AML.,PubMed
VENETOCLAX,42505231,2026 Jul 18,Curr Oncol,Management of Acute Myeloid Leukemia in Older Patients: An Updated Canadian Consensus.,PubMed
VENETOCLAX,42500589,2026,Oncol Res,"Real-World Experience with Venetoclax Therapeutic Drug Monitoring in Acute Myeloid Leukemia: Role of Posaconazole, Correlation with Safety and Efficacy.",PubMed
VINBLASTINE,42578872,2026 Aug 11,J Oncol Pharm Pract,Anaphylactic reaction to the second dose of dacarbazine following initial exposure in patient with hodgkin lymphoma.,PubMed
VINBLASTINE,42513493,2026 Jul 16,J Clin Med,Frontline ABVD Remains an Effective Option in Advanced-Stage Classical Hodgkin Lymphoma: Real-World Data from Turkey.,PubMed
VINBLASTINE,42504622,2026 Aug,J Biochem Mol Toxicol,"Goniothalamin as a Styryl-Lactone Toxicophore in Cancer Models: Electrophile-Driven DNA Damage, Reactive Oxygen Species-Endoplasmic Reticulum Stress Signaling and Detoxification-Relevant Safety Considerations.",PubMed
VINBLASTINE,42448827,2026 Jul 14,Sci Rep,ddMVAC versus gemcitabine-cisplatin as neoadjuvant treatment for muscle-invasive urothelial bladder cancer: a multicenter real-world study.,PubMed
VINBLASTINE,42392246,2026 Sep 1,Chem Biol Interact,Diazepam induces mitotic defects and cytotoxicity through modulation of tubulin and Eg5.,PubMed
VINBLASTINE,42358840,2026,Oncol Res,Mebendazole Shows Antiproliferative and Antimigratory Effects in Paediatric Low-Grade Glioma Models.,PubMed
VINBLASTINE,42352045,2026 Jun 10,Antioxidants (Basel),Aminochrome-Induced Disruption of Autophagosome-Lysosome Fusion: Implications for Protein Aggregation in Parkinson's Disease.,PubMed
VINBLASTINE,36508538,2026 Jan,,Plant Alkaloids Toxicity.,PubMed
VINBLASTINE,42274064,2026 Jan,Gulf J Oncolog,A Prospective Study Comparing Treatment Outcomes of Brentuximab Vedotin Plus AVD versus ABVD in Egyptian Patients with Advanced Classical Hodgkin Lymphoma.,PubMed
VINBLASTINE,42242960,2026 Jul,Clin Lymphoma Myeloma Leuk,SOHO State of the Art Updates and Next Questions | Early Stage Hodgkin Lymphoma-Are We Ready for Novel Agents?,PubMed
VINBLASTINE,42190158,2026 Jul 10,J Clin Oncol,"Neoadjuvant Durvalumab ± Tremelimumab in Combination With Dose-Dense Methotrexate, Vinblastine, Doxorubicin, and Cisplatin in Muscle-Invasive Bladder Carcinoma: Results of the Phase I/II NEMIO Study.",PubMed
VINBLASTINE,42172116,2026,Klin Onkol,Treatment outcomes of Hodgkin lymphoma in the Czech Republic.,PubMed
VINBLASTINE,42170498,2026 May 6,J Adv Pract Oncol,Advances in Hodgkin Lymphoma Treatment: Clinical Considerations for Managing Toxicities in Nivolumab-AVD Therapy.,PubMed
VINBLASTINE,42164211,2026 Apr,Cureus,Adult-Onset Multisystem Langerhans Cell Histiocytosis: Atypical Skeletal and Endocrine Manifestations.,PubMed
VINBLASTINE,42002978,2026 Apr 16,Curr Cancer Drug Targets,Phytochemicals as Promising Therapeutics in Cancer Prevention and Treatment: Mechanisms and Applications.,PubMed
VINCRISTINE,42527384,2026 Jul 29,Pediatr Blood Cancer,"The VIVA Regimen (Vinorelbine, Ifosfamide, Vincristine, and Actinomycin-D) for High-Risk Rhabdomyosarcoma: Feasibility and Outcomes From a Single-Institution Study.",PubMed
VINCRISTINE,42525883,2026 Jul 1,J Vet Intern Med,Survival outcomes of dogs with multicentric lymphoma treated with sequential half-body radiotherapy and L-CHOP without maintenance chemotherapy.,PubMed
VINCRISTINE,42500174,2026,Rev Bras Ginecol Obstet,Impact of different EMA/CO treatment regimens in women with gestational trophoblastic neoplasia: brazilian multicenter retrospective cohort study.,PubMed
VINCRISTINE,42494534,2026,Front Pharmacol,"Why pharmacogenomic biomarkers for chemotherapy-induced peripheral neuropathy fail: a systematic review of genetic associations, replication, and clinical translation.",PubMed
VINCRISTINE,42483493,2026,Case Rep Oncol Med,Successful Sequential Multimodal Therapy for Lingual Rhabdomyosarcoma in a Young Adult: Case Report.,PubMed
VINCRISTINE,42475939,2026 Sep,Leuk Res,Analysis of the efficacy and safety of the IVD/EM maintenance regimen as post-remission treatment for adult patients with T-cell lymphoblastic lymphoma/leukemia.,PubMed
VINCRISTINE,42473728,2026 Aug,CPT Pharmacometrics Syst Pharmacol,Extrapolating Vincristine-Induced Peripheral Neuropathy From Caucasian to Kenyan Populations: Impact of Type I and Type II Selection Bias.,PubMed
VINCRISTINE,42448984,2026 Jul 14,Eur J Pediatr,Drug-associated acute pancreatitis in paediatric versus adult reports: a disproportionality analysis using FAERS.,PubMed
VINCRISTINE,42448612,2026 Jul 14,Br J Haematol,Real-world outcomes of BrECADD therapy in advanced-stage classical Hodgkin lymphoma: A multicentre retrospective study.,PubMed
VINCRISTINE,42445702,2026,Rep Pract Oncol Radiother,Salvage ultra-low-dose radiotherapy for conjunctival mantle cell lymphoma - a case report and literature review.,PubMed
VINCRISTINE,42444056,2026 Jul,Pediatr Allergy Immunol,Breakthrough reactions in pediatric chemotherapeutic desensitization: Outcomes and associated risk factors.,PubMed
VINCRISTINE,42440462,2026 Oct,Adv Radiat Oncol,Interim Positron Emission Tomography-Guided Dose-Adapted Residual Site Radiation Therapy Improves Survival in Diffuse Large B-Cell Lymphoma Patients With Partial Metabolic Response After R-CHOP: A Retrospective Cohort Analysis.,PubMed
VINCRISTINE,42437228,2026 Jun,Cureus,Acute Appendicitis at Stem Cell Infusion During Autologous Transplantation for HIV-Associated Diffuse Large B-cell Lymphoma: A Case Report.,PubMed
VINCRISTINE,42430569,2026 Jul,Hematol Oncol,"Intensified Rituximab, Methotrexate, Procarbazine, and Cytarabine (R-MPVA) Regimen With Sequential Addition of Etoposide to R-MPV and Ifosfamide to R-AraC for Newly Diagnosed Primary CNS Lymphoma Patients Aged Between 60 and 70 Years: An LOC Network Study.",PubMed
VINCRISTINE,42416239,2026,Ecancermedicalscience,Clinical outcomes of adding vincristine to procarbazine-lomustine in patients with gliomas: insights from current evidence.,PubMed
